epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2053.65,2.25636,1.434,1.09847,0.56949,0.58911,0.60347,0.23936,1.93341,1.3835,1.09486,0.000614,0.000614,0.000614
44,2084.55,2.30002,1.44897,1.11689,0.5749,0.6083,0.60964,0.24586,1.93095,1.37585,1.09238,0.000581,0.000581,0.000581
45,2113.96,2.24972,1.46756,1.13088,0.55915,0.60208,0.60365,0.24551,1.93347,1.37321,1.09421,0.000548,0.000548,0.000548
46,2139.94,2.2743,1.41478,1.1067,0.59949,0.60526,0.61225,0.24446,1.94451,1.39997,1.08951,0.000515,0.000515,0.000515
47,2166.68,2.26905,1.40137,1.07806,0.57345,0.62146,0.5899,0.22753,1.93626,1.44764,1.08136,0.000482,0.000482,0.000482
48,2191.8,2.24026,1.43982,1.09248,0.59111,0.62146,0.59164,0.23392,1.91587,1.43132,1.07707,0.000449,0.000449,0.000449
49,2216.58,2.25656,1.42761,1.09044,0.59793,0.6083,0.59907,0.24088,1.92373,1.41372,1.0811,0.000416,0.000416,0.000416
50,2241.98,2.22445,1.40807,1.08655,0.62348,0.59834,0.63256,0.24941,1.94082,1.38131,1.08549,0.000383,0.000383,0.000383
51,2264.85,2.26363,1.64654,1.12212,0.61462,0.60373,0.63885,0.25282,1.93274,1.36964,1.08491,0.00035,0.00035,0.00035
52,2287.44,2.24394,1.5492,1.12896,0.58572,0.57813,0.62366,0.24813,1.91519,1.37838,1.08328,0.000317,0.000317,0.000317
53,2310.25,2.22246,1.52038,1.13313,0.55534,0.61134,0.61382,0.24729,1.90809,1.38795,1.08018,0.000284,0.000284,0.000284
54,2333.22,2.22837,1.48088,1.13997,0.52567,0.65385,0.58998,0.23809,1.91413,1.41603,1.0762,0.000251,0.000251,0.000251
55,2356.96,2.18402,1.45287,1.11472,0.54072,0.65182,0.60035,0.23124,1.94568,1.42729,1.0801,0.000218,0.000218,0.000218
56,2379.85,2.19533,1.45785,1.11338,0.55088,0.64433,0.61106,0.23744,1.93654,1.41759,1.0789,0.000185,0.000185,0.000185
57,2403.09,2.19995,1.45234,1.12059,0.5542,0.6417,0.62151,0.24503,1.91952,1.41493,1.07608,0.000152,0.000152,0.000152
58,2426.44,2.18789,1.46871,1.11461,0.57603,0.64777,0.6341,0.25347,1.89939,1.42154,1.07274,0.000119,0.000119,0.000119
59,2449.56,2.18992,1.44651,1.11808,0.58435,0.66093,0.64219,0.25397,1.89366,1.43736,1.07111,8.6e-05,8.6e-05,8.6e-05
60,2472.98,2.18987,1.45001,1.11486,0.59124,0.6588,0.64192,0.25317,1.89146,1.44236,1.07,5.3e-05,5.3e-05,5.3e-05
