epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1402,2.66651,3.56161,1.5493,0.00542,0.08686,0.00295,0.00108,2.60211,3.66035,1.53353,2e-05,2e-05,2e-05
2,39.3593,2.71013,3.57438,1.52135,0.00694,0.11136,0.00393,0.00156,2.49977,3.60457,1.4337,5.9406e-05,5.9406e-05,5.9406e-05
3,52.2612,2.63437,3.52276,1.46537,0.01486,0.23831,0.0094,0.0034,2.31411,3.53868,1.30734,9.802e-05,9.802e-05,9.802e-05
4,64.9307,2.28582,3.37187,1.31489,0.02458,0.39421,0.02213,0.00877,2.13286,3.47781,1.20304,0.000135842,0.000135842,0.000135842
5,77.6925,2.1071,3.25041,1.2737,0.03361,0.53898,0.06732,0.02468,2.0307,3.41873,1.13268,0.000172872,0.000172872,0.000172872
6,89.8442,2.22205,3.12018,1.26093,0.04056,0.65033,0.14688,0.04592,1.99364,3.36146,1.08412,0.00020911,0.00020911,0.00020911
7,102.245,2.02853,2.8835,1.14358,0.04167,0.66815,0.2072,0.05877,2.01954,3.33114,1.07961,0.000244556,0.000244556,0.000244556
8,114.303,1.95156,2.64785,1.10062,0.03556,0.57016,0.22967,0.06736,1.95177,3.29082,1.06016,0.00027921,0.00027921,0.00027921
9,126.139,1.93079,2.37013,1.13392,0.03486,0.55902,0.24519,0.06905,1.85571,3.27865,1.05079,0.000313072,0.000313072,0.000313072
10,138.356,2.23109,2.31342,1.12787,0.03139,0.50334,0.20507,0.0502,1.81839,3.27906,1.04962,0.000346142,0.000346142,0.000346142
11,151.023,1.97071,2.17692,1.07813,0.03097,0.49666,0.17405,0.04498,1.83326,3.26971,1.04836,0.00037842,0.00037842,0.00037842
