epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.072,2.62863,3.60975,1.58881,0.00528,0.08463,0.00286,0.00102,2.59808,3.65947,1.53392,2e-05,2e-05,2e-05
2,26.466,2.62654,3.61915,1.57316,0.0075,0.12027,0.00421,0.00152,2.50317,3.5994,1.42325,5.406e-05,5.406e-05,5.406e-05
3,39.6894,2.4277,3.55264,1.51166,0.01403,0.22494,0.00908,0.00322,2.41116,3.52135,1.32206,8.02e-05,8.02e-05,8.02e-05
4,51.7135,2.38892,3.44183,1.48461,0.02167,0.34744,0.01694,0.00652,2.29828,3.47896,1.24679,9.842e-05,9.842e-05,9.842e-05
5,63.3476,2.34609,3.3281,1.42436,0.02875,0.46102,0.03101,0.01256,2.19493,3.45039,1.19665,0.00010872,0.00010872,0.00010872
6,75.0593,2.30227,3.2297,1.35397,0.03486,0.55902,0.05119,0.01812,2.18575,3.43177,1.16775,0.0001111,0.0001111,0.0001111
7,86.8181,2.10823,3.07416,1.24242,0.04,0.64143,0.08827,0.02554,2.17483,3.40276,1.14138,0.00010556,0.00010556,0.00010556
8,98.4835,2.13021,2.9337,1.19072,0.04486,0.71938,0.12464,0.03738,2.14506,3.37937,1.12116,9.21e-05,9.21e-05,9.21e-05
9,110.148,2.09753,2.85068,1.22407,0.04486,0.71938,0.13687,0.04077,2.12139,3.37163,1.10971,7.072e-05,7.072e-05,7.072e-05
10,121.829,2.06623,2.83496,1.2103,0.04556,0.73051,0.14539,0.04318,2.08545,3.36121,1.09893,4.142e-05,4.142e-05,4.142e-05
